id,club,league,lat,lon,address,website
112,Barnsley Ladies,Championship North 1,53.54855084,-1.496136629,"Shaw La, Barnsley S70 6HZ",https://www.pitchero.com/clubs/barnsley/
113,Novocastrians Ladies,Championship North 1,55.00581882,-1.583241736,"The Drive, Longbenton, Newcastle upon Tyne NE7 7SZ",https://www.novos.co.uk/
114,Blaydon Red Kites 1XV,Championship North 1,54.95343915,-1.690650002,Crow Trees Ground Hexham Road Newcastle Upon Tyne Tyne And Wear NE16 3BN United Kingdom,http://www.blaydonrfc.co.uk/
115,Driffield Women,Championship North 2,53.99472129,-0.453151989,"A164, Kelleythorpe, Driffield YO25 9DW",http://www.driffieldrufc.com/
116,Bishop Auckland Ladies,Championship North 2,54.66293025,-1.689475831,"West Mills Playing Fields, Bridge Rd, Bishop Auckland DL14 7PA",https://www.pitchero.com/clubs/bishopaucklandrufc2
117,Halifax Ladies,Championship North 2,53.74532331,-1.883271173,"Ovenden Park, Keighley Road, Halifax HX2 8AR",https://halifaxrufc.rfu.club/
118,Manchester Women,Championship North 2,53.35667157,-2.191857631,"Grove Park, Grove Ln, Cheadle Hulme, Cheadle SK8 7NB",http://www.manchesterrugby.co.uk/
119,Chester Devas Women,Championship North 2,53.19722651,-2.843443331,"Hare Lane Littleton, Hare Ln, Littleton, Chester CH3 7DB",https://www.chesterrufc.com/
120,Sheffield Women,Championship North 2,53.32568558,-1.520620636,"Abbeydale Sports Club, Abbeydale Rd S, Sheffield S17 3LJ",https://www.pitchero.com/clubs/sheffield
121,Liverpool St Helens Women,Championship North 2,53.47141189,-2.777737936,"Moss Ln, Saint Helens WA11 7PL",https://www.liverpoolsthelensrugby.co.uk/
122,Sefton Ladies,Championship North 2,53.42894009,-2.895207631,"Thornhead Ln, West Derby, Liverpool L12 9EY",http://www.seftonrufc.co.uk/
123,Kendal Wasps,Championship North 2,54.34388374,-2.73466774,"Shap Rd, Kendal LA9 6NY",https://www.kendalrugby.co.uk/
124,Birkenhead Park Ladies,Championship North 2,53.3969399,-3.049158693,"141 Park Rd N, Birkenhead CH41 8AA",NA
